Video ID,Title,Published Date,Views,Likes,Comments,Date,Time,Year,Month,Day,MonthName,Video Category
kfVUlR9BnYQ,Config 2025: Programmable colors: bridging design and code with Irina Nazarova & Arthur Objartel,2025-06-25 14:04:55+00:00,3522,122,3,2025-06-25,00:00:00,2025,6,25,Jun,Design & Development
6l6El4xqIZ4,"Config 2025: Connecting code with craft with Katie Langerman, Lukas Opperman",2025-06-23 15:28:53+00:00,2620,57,0,2025-06-23,00:00:00,2025,6,23,Jun,Other
eMnjw5tTc04,Config 2025: Live with Baratunde Thurston: the human side of AI,2025-06-21 17:49:26+00:00,1141,16,2,2025-06-21,00:00:00,2025,6,21,Jun,Other
euaT3z4AO8U,Intro to Dev Mode 日本版 | Figma,2025-06-18 22:00:45+00:00,1592,10,0,2025-06-18,00:00:00,2025,6,18,Jun,Design & Development
CkKooyO0UV0,Explore Figma Draw,2025-06-03 18:50:47+00:00,9055,393,3,2025-06-03,00:00:00,2025,6,3,Jun,Other
AxLIfW9y5yw,Config 2025: How to make interactive animations with Figma with Carmen Ansio,2025-06-02 13:55:14+00:00,6387,175,6,2025-06-02,00:00:00,2025,6,2,Jun,Other
wZveSL6dQUc,Config 2025: How fast feedback enables smart design (UserTesting & Figma),2025-06-01 17:42:04+00:00,5658,103,11,2025-06-01,00:00:00,2025,6,1,Jun,Design & Development
ZoN6v_1zGa4,"Config 2025: Please, no glue on the cutting mat | designing for cinema with Annie Atkins",2025-05-30 03:40:23+00:00,2050,56,1,2025-05-30,00:00:00,2025,5,30,May,Design & Development
MDdMn8xD1mo,Config London 2025: How Figma became my gateway to physical product design with Timothy Achumba,2025-05-27 19:48:35+00:00,3474,91,10,2025-05-27,00:00:00,2025,5,27,May,Design & Development
GadLRCdViPU,Config London 2025: The web hasn’t happened yet with Nick Jones & Devin Jacoviello,2025-05-21 20:53:39+00:00,4313,148,6,2025-05-21,00:00:00,2025,5,21,May,Design & Development
77Vr5VZqVJU,Config 2025: Redefining fan engagement in the NBA with Jay Lee & Ellen McGirt,2025-05-18 04:03:14+00:00,3450,24,1,2025-05-18,00:00:00,2025,5,18,May,Other
aN9hmRIxzws,Config 2025: How Nicole McLaughlin reimagines waste and discarded materials,2025-05-16 12:11:24+00:00,2500,67,1,2025-05-16,00:00:00,2025,5,16,May,Other
CFBwwPDPa5s,Config 2025: Breaking and entering (and building culture along the way) with Jeff Staple,2025-05-15 06:53:01+00:00,4273,119,5,2025-05-15,00:00:00,2025,5,15,May,Other
dJ4DoFzTcBc,Config 2025: Redesigning the computer mouse with Corten Singer & Ryan Hudson-Peralta,2025-05-13 15:15:55+00:00,5905,173,10,2025-05-13,00:00:00,2025,5,13,May,Design & Development
vfGme7XCS1A,Figma Buzz: How to Create Assets,2025-05-11 19:00:52+00:00,26025,380,12,2025-05-11,00:00:00,2025,5,11,May,Other
5q8YAUTYAyk,"Config 2025: Figma product launch keynote (Dylan Field, CEO & Co-founder, Figma) LIVE at Moscone",2025-05-08 17:03:32+00:00,222040,5442,124,2025-05-08,00:00:00,2025,5,8,May,Other
cke01gWWwyo,Figma Design for K-12: Drawing with the pen tool,2025-04-04 11:01:01+00:00,5848,156,7,2025-04-04,00:00:00,2025,4,4,Apr,Design & Development
Jm6tSKY0qW0,Deep Dive: Designing AI features for FigJam (project walkthrough),2025-04-03 12:00:24+00:00,7537,171,9,2025-04-03,00:00:00,2025,4,3,Apr,Design & Development
PezChp6U654,Deep Dive: Designing Figma UI3 (Project Walkthrough),2025-03-31 10:30:16+00:00,5444,119,0,2025-03-31,00:00:00,2025,3,31,Mar,Design & Development
J2BOVrsdg8I,How Figma redesigned its Community page,2025-03-14 11:30:11+00:00,2821,56,0,2025-03-14,00:00:00,2025,3,14,Mar,Design & Development
rOD4kx27014,Your org chart doesn't have to be symmetrical — make it ugly,2025-02-03 13:01:18+00:00,5157,270,1,2025-02-03,00:00:00,2025,2,3,Feb,Other
